week,awayTeam,homeTeam,awayScore,homeScore,OT
16,HOU,KC,19,27,FALSE
16,PIT,BAL,17,34,FALSE
16,NYG,ATL,7,34,FALSE
16,DET,CHI,34,17,FALSE
16,TEN,IND,30,38,FALSE
16,CLE,CIN,6,24,FALSE
16,ARZ,CAR,30,36,FALSE
16,PHI,WAS,33,36,FALSE
16,LAR,NYJ,19,9,FALSE
16,MIN,SEA,27,24,FALSE
16,JAX,LV,14,19,FALSE
16,NE,BUF,21,24,FALSE
16,SF,MIA,17,29,FALSE
16,TB,DAL,24,26,FALSE
16,NO,GB,0,34,FALSE
17,KC,PIT,29,10,FALSE
17,BAL,HOU,31,2,FALSE
17,SEA,CHI,6,3,FALSE
17,LAC,NE,40,7,FALSE,
17,DEN,CIN,24,30,FALSE
17,ARZ,LAR,9,13,FALSE
17,TEN,JAX,13,20,FALSE
17,CAR,TB,14,48,FALSE
17,IND,NYG,33,45,FALSE
17,LV,NO,25,10,FALSE
17,DAL,PHI,7,41,FALSE
17,NYJ,BUF,14,40,FALSE
17,MIA,CLE,20,3,FALSE
17,GB,MIN,25,27,FALSE
17,ATL,WAS,24,30,TRUE
17,DET,SF,40,34,FALSE
18,CLE,BAL,10,35,FALSE
18,CIN,PIT,19,17,FALSE
18,CAR,ATL,44,38,TRUE
18,HOU,TEN,23,14,FALSE
18,PHI,NYG,13,20,FALSE
18,JAX,IND,23,26,TRUE
18,WAS,DAL,23,19,FALSE
18,CHI,GB,24,22,FALSE
18,NO,TB,19,27,FALSE
18,BUF,NE,16,23,FALSE
18,LAC,LV,34,20,FALSE
18,SF,ARZ,24,47,FALSE
18,KC,DEN,0,38,FALSE
18,SEA,LAR,30,25,FALSE
18,MIA,NYJ,20,32,FALSE
18,MIN,DET,9,31,FALSE
WC,LAC,HOU,12,32,FALSE
WC,PIT,BAL,14,28,FALSE
WC,DEN,BUF,31,7,FALSE
WC,GB,PHI,10,22,FALSE
WC,TB,WAS,23,20,FALSE
WC,MIN,LAR,9,27,FALSE
DIV,HOU,KC,14,23,FALSE
DIV,WAS,DET,45,31,FALSE
DIV,LAR,PHI,22,28,FALSE
DIV,BAL,BUF,25,27,FALSE
CONF,WAS,PHI,23,55,FALSE
CONF,BUF,KC,29,32,FALSE
SB,KC,PHI,40,22,FALSE
